quant,threads,loops,audio_duration_sec,mean_rtf_sim,p95_rtf_sim,mean_wall_rtf,ram_first_mb,ram_last_mb,ram_slope_mb_per_loop,asr_load_count,tts_load_count,rtf_pass,load_once_pass,memory_leak_pass_simple,csv
FP16,1,10,5.0,0.75459,0.75459,0.007897058480000113,289.26171875,289.26171875,0.0,1,1,False,True,True,results/matrix_FP16_t1.csv
FP16,2,10,5.0,0.35459,0.35459,0.00381279362000015,295.53515625,295.53515625,0.0,1,1,False,True,True,results/matrix_FP16_t2.csv
FP16,3,10,5.0,0.34097297872340426,0.34097297872340426,0.0037940986199993176,283.265625,283.265625,0.0,1,1,False,True,True,results/matrix_FP16_t3.csv
FP16,4,10,5.0,0.42377918918918916,0.42377918918918916,0.004645860860000255,289.7578125,289.7578125,0.0,1,1,False,True,True,results/matrix_FP16_t4.csv
Q8,1,10,5.0,0.48459,0.48459,0.0051585942999992085,289.5078125,289.5078125,0.0,1,1,False,True,True,results/matrix_Q8_t1.csv
Q8,2,10,5.0,0.23459,0.23459,0.0027361800600002083,290.09765625,290.09765625,0.0,1,1,True,True,True,results/matrix_Q8_t2.csv
Q8,3,10,5.0,0.22607936170212764,0.22607936170212764,0.002525940100000241,288.79296875,288.79296875,0.0,1,1,True,True,True,results/matrix_Q8_t3.csv
Q8,4,10,5.0,0.2778332432432432,0.2778332432432432,0.003162663900000098,302.421875,302.421875,0.0,1,1,True,True,True,results/matrix_Q8_t4.csv
Q5,1,10,5.0,0.39458999999999994,0.39458999999999994,0.004235131060000868,298.0546875,298.0546875,0.0,1,1,False,True,True,results/matrix_Q5_t1.csv
Q5,2,10,5.0,0.19459,0.19459,0.0023200857000000496,281.2578125,281.2578125,0.0,1,1,True,True,True,results/matrix_Q5_t2.csv
Q5,3,10,5.0,0.18778148936170214,0.18778148936170214,0.0021795694399995113,302.92578125,302.92578125,0.0,1,1,True,True,True,results/matrix_Q5_t3.csv
Q5,4,10,5.0,0.2291845945945946,0.2291845945945946,0.0025963151199997012,285.453125,285.453125,0.0,1,1,True,True,True,results/matrix_Q5_t4.csv
Q4,1,10,5.0,0.33459,0.33459,0.003627569519999554,290.58203125,290.58203125,0.0,1,1,False,True,True,results/matrix_Q4_t1.csv
Q4,2,10,5.0,0.16792333333333334,0.16792333333333334,0.0020810647199994035,274.6328125,274.6328125,0.0,1,1,True,True,True,results/matrix_Q4_t2.csv
Q4,3,10,5.0,0.1622495744680851,0.1622495744680851,0.0018946032599995988,286.76171875,286.76171875,0.0,1,1,True,True,True,results/matrix_Q4_t3.csv
Q4,4,10,5.0,0.19675216216216215,0.19675216216216215,0.0023066876200010713,296.4921875,296.4921875,0.0,1,1,True,True,True,results/matrix_Q4_t4.csv
